,Earnings,Cycles
0,1431.550000000007,1372.649110867571
1,-1709.1399999999949,1373.651288442711
2,-809.4499999999935,1370.6448699621878
3,-1201.3700000000026,1361.126805541456
4,-1680.1599999999958,1365.3844622508939
5,1423.0600000000018,1366.7620866463433
6,-1649.9899999999911,1361.126805541456
7,-130.72000000000122,1342.2261066978344
8,-2485.480000000009,1377.159209873248
9,-2952.860000000002,1365.8854082481462
10,1595.3900000000008,1364.3825988099268
11,350.89999999999924,1356.9950315520252
12,-266.7900000000003,1379.6651536990046
13,-241.79000000000084,1375.02934479214
14,-279.83999999999884,1382.1713356012986
15,-3278.2400000000034,1378.662747600784
16,689.1100000000051,1359.999893858573
17,-193.5699999999988,1367.8892874198339
18,749.9700000000012,1357.4958181482016
19,-1434.7600000000016,1356.2438694980997
20,1158.170000000004,1381.4194560312283
21,-1151.459999999993,1372.398572424173
22,461.220000000001,1360.125103888754
23,-183.22000000000386,1362.6294293937292
24,513.1499999999937,1389.3152603708597
25,-106.29000000000124,1367.7640405097811
26,1860.019999999994,1360.625949957011
27,1149.3699999999922,1366.8873287970926
28,-842.1200000000014,1372.899651691101
29,1202.0900000000051,1366.6368450904943
30,1483.7000000000035,1356.8698363896879
31,776.3699999999981,1348.9837399136286
32,-1862.6699999999962,1388.9392161068029
33,-1395.9000000000028,1380.2916768540192
34,802.5199999999993,1360.625949957011
35,102.05999999999844,1379.9157611754165
36,709.9100000000022,1357.8714143395807
37,99.31000000000023,1369.642806629051
38,53.63999999999919,1361.2520209244929
39,2937.8999999999855,1368.5155308940389
40,1143.9300000000003,1367.3883033491484
41,-1459.8300000000015,1365.8854082481462
42,1080.7100000000007,1387.059075164071
43,-1189.169999999996,1375.9063272320038
44,-740.6599999999995,1383.925804600556
45,1566.9800000000012,1369.3922967454755
46,877.739999999995,1370.3943505590332
47,93.44999999999986,1378.9133455542703
48,-688.1299999999998,1368.1397830247192
49,-756.249999999997,1356.3690616870801
50,-539.8100000000028,1371.8975026776827
51,1253.5800000000015,1377.6603795933622
52,2024.1999999999969,1365.8854082481462
53,-2059.1999999999966,1356.3690616870801
54,293.0999999999982,1353.114258031685
55,2441.5799999999895,1364.8835257715477
56,649.7800000000028,1376.9086285840112
57,45.02000000000608,1358.7478262674174
58,-208.74000000000083,1376.2821857756298
59,-924.6000000000053,1374.1523915115263
60,-605.7500000000025,1374.4029466163245
61,-1837.8399999999913,1375.2799082280535
62,166.459999999999,1375.9063272320038
63,1212.22,1368.1397830247192
64,805.25,1368.7660324482795
65,-601.0399999999981,1374.9040639668146
66,-1969.3100000000081,1369.3922967454755
67,586.3799999999998,1367.137814883303
68,-7.419999999993735,1356.4942544707264
69,-278.0899999999999,1363.3807734391373
70,-1349.4999999999993,1362.6294293937292
71,-205.24000000000007,1380.4169832706273
72,-1758.0399999999954,1349.734695050421
73,621.6200000000053,1370.8953917452939
74,1002.83,1363.3807734391373
75,-684.079999999998,1343.9779192447345
76,1792.1300000000015,1360.125103888754
77,1717.2400000000011,1365.3844622508939
78,732.1000000000029,1382.296650946328
79,108.5400000000006,1372.1480363608844
80,-947.7500000000005,1370.3943505590332
81,17.150000000002493,1379.539850853587
82,-571.2000000000036,1352.238033417323
83,-2600.8799999999974,1369.2670426961286
84,-753.22,1357.3706206071279
85,326.0900000000005,1383.424515838215
86,-253.459999999999,1340.724645804572
87,-1848.1000000000058,1387.4350926358647
88,1558.3299999999965,1383.173875028713
89,-497.6499999999983,1351.3618379370143
90,-253.2099999999983,1375.4051908386475
91,1458.3300000000022,1365.3844622508939
92,836.670000000001,1364.1321388982067
93,603.659999999993,1359.8746844231396
94,748.0200000000012,1364.8835257715477
95,1176.619999999994,1391.4462790889681
96,1028.5399999999993,1366.5116041295425
97,-1637.0399999999977,1366.8873287970926
98,225.7099999999991,1359.6242673365045
99,1055.520000000004,1354.3660580213582
100,867.5899999999976,1361.2520209244929
101,-1741.3099999999918,1368.6407813736878
102,-1117.490000000002,1383.549837135879
103,458.71000000000214,1368.7660324482795
104,-179.88999999999842,1346.480710690658
105,-303.7800000000012,1371.1459159083738
106,-208.19999999999897,1380.4169832706273
107,-380.8299999999995,1367.6387941946512
108,925.7699999999986,1360.8763765596987
109,-386.5700000000012,1380.5422902824437
110,-831.5400000000013,1346.9812975123655
111,-2848.429999999987,1389.440609649693
112,545.0500000000013,1385.0537391404157
113,-751.5700000000016,1365.1339928214938
114,-174.14999999999822,1388.5631772013512
115,-53.19999999999985,1368.2650317195573
116,-643.1700000000011,1362.7546519142634
117,3.1799999999976336,1371.3964424514502
118,-1429.790000000002,1363.255547944526
119,-513.0100000000032,1370.2690917499306
120,978.3199999999998,1372.649110867571
121,610.8900000000012,1366.8873287970926
122,-430.42999999999984,1370.6448699621878
123,104.2199999999952,1366.0106462346532
124,-510.32999999999845,1381.168834269749
125,815.059999999994,1354.1156932665497
126,2303.259999999999,1366.6368450904943
127,596.3000000000027,1361.62767064227
128,-1303.8500000000063,1370.1438335358073
129,399.2899999999985,1376.9086285840112
130,-1563.4199999999978,1360.625949957011
131,516.589999999995,1372.899651691101
132,-51.54999999999799,1388.9392161068029
133,-1113.0599999999936,1364.633061101033
134,-267.1100000000012,1363.8816813658502
135,-2284.6000000000013,1352.112860850727
136,-1272.6700000000012,1355.3675408256393
137,229.87999999999818,1361.878106761372
138,205.98999999999825,1354.3660580213582
139,-3158.2400000000066,1384.17645255344
140,678.0600000000022,1376.783338832088
141,-2056.7500000000064,1383.048555516869
142,679.5700000000045,1378.286855134313
143,632.7200000000014,1366.6368450904943
144,582.4699999999988,1349.1088976168298
145,-759.6600000000018,1379.0386454237737
146,-1752.7699999999995,1375.02934479214
147,490.63000000000005,1374.653504101413
148,308.60999999999433,1348.8585828049265
149,-623.9699999999984,1359.8746844231396
150,-3321.5999999999985,1382.296650946328
151,2299.199999999993,1364.5078296580552
152,97.22999999999703,1361.62767064227
153,231.44999999999845,1368.2650317195573
154,63.99000000000217,1376.4074731470648
155,-1219.2700000000057,1347.7321955786008
156,696.7200000000043,1368.5155308940389
157,-1322.5000000000002,1374.1523915115263
158,-1092.0699999999972,1353.6149708922887
159,-883.4099999999994,1369.8933188924873
160,-47.64999999999604,1364.7582931388629
161,817.4599999999976,1363.0050987397638
162,-276.0799999999967,1370.6448699621878
163,-578.6400000000019,1357.1202273090425
164,127.95999999999805,1363.8816813658502
165,-1188.9799999999993,1374.2776687663904
166,421.3499999999997,1354.1156932665497
